"Date" "ETR" "FCO2" "FCH4" "Heat" "LHeat" "SoilHeatd2" "lgt.bm1_G_1_1_2" "lgt.bm1_P_1_1_1" "lgt.bm1_PA_1_1_1" "lgt.bm1_PPFD_IN_1_1_1" "lgt.bm1_RH_1_1_1" "lgt.bm1_SWC_1_1_1" "lgt.bm1_SWC_1_1_2" "lgt.bm1_SWC_1_2_1" "lgt.bm1_SWC_1_3_1" "TA" "lgt.bm1_TS_1_1_1" "lgt.bm1_TS_1_1_2" "lgt.bm1_TS_1_2_1" "lgt.bm1_TS_1_2_2" "lgt.bm1_TS_1_3_1" "lgt.bm1_TS_1_3_2" "lgt.bm1_TS_1_4_1" "lgt.bm1_TS_1_5_1" "lgt.bm1_WD_1_1_1" "lgt.bm1_WS_1_1_1" "lgt.bm1_WTD" "lgt.sm_exutoire_Q" "lgt.sm_exutoire_TW" "lgt.pz_cbdv_amont_TW" "lgt.pz_cbdv_amont_WTD" "lgt.pz_cbdv_aval_TW" "lgt.pz_cbdv_aval_WTD" "lgt.pz_dc_TW" "lgt.pz_dc_WTD" "lgt.pz_do_TW" "lgt.pz_do_WTD" "lgt.pz_wc_TW" "lgt.pz_wc_WTD" "lgt.pz_wo_WTD" "lgt.bm2_G_2_1_1" "lgt.bm2_G_2_1_2" "lgt.bm2_LW_IN_1_1_1" "lgt.bm2_LW_OUT_1_1_1" "lgt.bm2_SW_IN_1_1_1" "lgt.bm2_SW_OUT_1_1_1" "lgt.bm2_SWC_2_1_1" "lgt.bm2_SWC_2_1_2" "lgt.bm2_SWC_2_2_1" "lgt.bm2_SWC_2_3_1" "lgt.bm2_TS_2_1_1" "lgt.bm2_TS_2_1_2" "lgt.bm2_TS_2_2_1" "lgt.bm2_TS_2_2_2" "lgt.bm2_TS_2_3_1" "lgt.bm2_TS_2_4_1" "lgt.bm2_TS_2_5_1" "lgt.bm2_TS_2_6_1" "lgt.bm2_WTD"
2017-01-19 NA NA NA NA NA -3.07370275760649 -10.4738732777778 0 1010.03677777778 211.755512438333 NA 44.7547888888889 75.6441455555556 79.0785583333333 74.5725344444444 -5.05301633333333 -2.30104141666667 -0.924032833333333 -0.724050488888889 -1.30158666111111 0.976786361111111 0.122903829722222 1.98938544444444 5.22970427777778 150.250986111111 0.771338883333333 -0.213071661111111 3.49136485555556 5.40567777777778 5.30083333333333 -0.117022222222222 6.30333333333333 -0.0137274666666667 7 -0.0201111111111111 2.29777777777778 -0.0709388888888889 6.23555555555556 -0.00855555555555556 -0.0707888888888889 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2017-01-20 NA NA NA NA NA -2.45100041968254 -6.88807839745917 0 1007.49673321234 217.493410988294 NA 35.3502988203267 75.4099618874773 79.0829015426497 74.5965371143376 -2.18010748820327 -1.9230957831216 -0.94888399092559 -0.687676217241379 -1.32199626678766 0.733393736842105 0.0492501069509982 1.71903238656987 5.0793757168784 143.750840834846 0.833498084392015 -0.213060326678766 1.04000599364791 5.43320689655172 5.09745762711864 -0.121340128263857 6.23720508166969 -0.0163418938294011 6.06666666666667 -0.019 2.18103448275862 -0.0687513611615245 6.12 -0.008 -0.0730199637023593 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2017-01-21 NA NA NA NA NA -2.71634605357143 -4.58114903253968 0 1005.84156079855 182.294263983031 NA 14.817058076225 74.8417211433757 79.0880083484574 74.6187167876588 -1.98350320145191 -1.69682925862069 -0.956423385662432 -0.659144655716878 -1.29940419419238 0.584455701451906 -0.00932491890199637 1.52531742286751 4.92976774047187 133.398728130671 0.671498185117967 -0.212924979128857 1.04713908439201 5.40958620689655 4.92881355932203 -0.123898534127348 6.2 -0.017802107168784 6 -0.0167777777777778 2.05825771324864 -0.0679246823956443 5.99 -0.008 -0.0740535390199637 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2017-01-22 NA NA NA NA NA -3.73533882936508 -6.07311048214286 0 1007.11722323049 217.464923310163 NA 7.6403651814882 74.3046174228675 79.0816382940109 74.6387929219601 -1.98799721415608 -1.77776041288566 -0.845428195099818 -0.674091114337568 -1.10419297005445 0.495552443738657 -0.0258889867050817 1.39606814882033 4.78724138838476 126.840636751361 0.728254191470054 -0.212700603448276 1.06144540199637 5.28957803992741 4.80423728813559 -0.124392120934494 6.10344827586207 -0.0188865367513612 6 -0.0142222222222222 1.98702359346642 -0.0675771324863884 5.87444444444444 -0.008 -0.0747667876588022 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2017-01-23 NA NA NA NA NA -1.04744653769841 -0.0452655934523811 0 1009.56129764065 131.350378148367 NA 2.05181823049002 73.3909549909256 79.0614259528131 74.655089292196 -2.24011099092559 -0.868191168784029 -0.795765063520871 -0.366433434119782 -0.985972622504537 0.416842265880218 -0.0831161008330309 1.2890967876588 4.6560116969147 139.886855172414 0.691052425589837 -0.213192140653358 0.903689699637024 5.16052450090744 4.6906779661017 -0.125200641319285 6.10344827586207 -0.0183697245916515 6 -0.0181111111111111 1.9 -0.0671388384754991 5.76888888888889 -0.008 -0.0743838475499093 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2017-01-24 NA NA NA NA NA -1.1546978015873 -3.73013600945419 0.2 1007.83332123412 61.6418769228675 NA 5.67667552631579 73.7319170598911 79.076230399274 74.6581361161524 -2.34956190834846 -0.460715322141561 -0.36508506261343 -0.112218609891107 -0.337046397459165 0.413270079854809 -0.0472310385117967 1.24500375680581 4.54017281306715 125.242366606171 0.985888092558984 -0.213081417422868 0.946338844827586 4.93077313974592 4.59576271186441 -0.118638570774164 6.09655172413793 -0.0201803190562613 6 -0.009 1.83194192377495 -0.068546279491833 5.66333333333333 -0.008 -0.0771234119782214 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2017-01-25 NA NA NA NA NA -2.10209734126984 -2.8328084911306 0 1000.87326225045 243.274630669329 NA 1.13936313626134 72.9569328493648 79.0715166061706 74.6691138838476 -0.204521992740472 -1.39529317241379 -1.03430988021779 -0.562957327404719 -1.29106108166969 0.379158408348457 -0.176598350635209 1.20388149727768 4.43778916515426 154.630988475499 1.45752458802178 -0.212967218693285 1.01721309165154 4.73462341197822 4.5 -0.12115712322492 6.00344827586207 -0.0205569787658802 6 1.0842021724855e-19 1.8 -0.065024500907441 5.58 0.00322222222222222 -0.0751442831215971 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2017-01-26 NA NA NA NA NA -0.0957651706349206 -0.0805200316764133 0 994.446268602541 107.789305016697 NA 4.37483811252269 73.0882167876588 79.0842876588022 74.6688897459165 6.90184935571688 0.111365596188748 -0.0850382758076225 -0.00584936083484574 -0.122071634210526 0.36543092831216 0.0401011239364791 1.16526589836661 4.3465770508167 170.471288566243 2.19882505444646 -0.21260416969147 0.90922815154265 4.648666969147 4.41896551724138 -0.1144555353902 6 -0.0194138603448276 6 0.001 1.74010889292196 -0.0647422867513612 5.49666666666667 0.012 -0.0761333938294011 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2017-01-27 NA NA NA NA NA -0.0862621697066276 0.469152209722222 0 998.657982758621 73.7428353760436 NA 10.0928335480944 73.7554837568058 79.1062431034483 74.6694684210526 6.5415312323049 1.59601932935572 0.794238134582577 0.279732585571688 0.198432369462795 0.384941942831216 0.319357164882033 1.15936313974592 4.26901231397459 193.216193375681 1.07700483303085 -0.211223778584392 1.26882647459165 4.66268784029038 4.38448275862069 -0.0989088021778584 5.98965517241379 -0.0202302483666062 6 -0.001 1.6 -0.0659718693284937 5.4 0.005 -0.0747068965517241 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2017-01-28 NA NA NA NA NA 0.463417652982456 3.19159828446397 0 1002.24422413793 162.884886869147 NA 15.7520215063521 74.5030802177859 79.1163702359347 74.6703205989111 5.95096287658802 1.0556520700363 0.977624755045372 0.386522117150635 0.923518306749546 0.406585399274047 0.330164070235935 1.16237603448276 4.20160269509982 219.165218693285 1.23707740562613 -0.212554293103448 1.09979268421053 4.79728039927405 4.3 -0.100730036297641 5.9 -0.0212297105263158 6 -0.00588888888888889 1.52241379310345 -0.0685344827586207 5.33 0.00233333333333333 -0.0775589836660617 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2017-01-29 NA NA NA NA NA 2.65941735925926 6.17829400396825 9 997.754715063521 33.262451777677 NA 22.9423168784029 75.9475540834846 79.2721239564428 74.6805666061706 8.5783568784029 3.60022650453721 2.83145382214156 1.62131184845735 3.2083123938294 0.411547594373866 1.11347741833031 1.12067882940109 4.13862431941924 257.097930127042 1.53294838112523 -0.199296468239564 1.98224508529946 5.02358620689655 4.2801724137931 -0.0743675136116152 5.9 -0.0164610234119782 6 0.01 1.53384754990926 -0.0666361161524501 5.3 0.0162222222222222 -0.0611034482758621 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
